,PC1,PC2,PC3,Day,Group
day-1-UVB-1,1.476906593,0.41197837,0.053828607,1,UVB
day-1-UVB-2,1.597184344,0.650024057,0.252305917,1,UVB
day-1-UVB-3,1.553734583,0.516535397,0.450312968,1,UVB
day-1-UVB-4,1.643696671,0.522908133,0.605027065,1,UVB
day-1-UVB-5,1.619578618,0.579180057,0.587966192,1,UVB
day-1-UVB-6,1.63274676,0.542105892,0.343874714,1,UVB
day-1-UVB-7,1.61081986,0.743828779,0.095450213,1,UVB
day-1-con-1,1.167876463,0.186903256,-0.182315673,1,Control
day-1-con-2,1.604732374,0.322599605,-0.368656612,1,Control
day-1-con-3,1.231408558,0.242274774,0.294196469,1,Control
day-2-UVB-1,0.765638274,-0.406922018,-0.427338874,2,UVB
day-2-UVB-2,0.75922739,-0.021693089,-0.738696442,2,UVB
day-3-UVB-1,0.302658031,-0.716954625,-0.638520296,3,UVB
day-3-UVB-2,0.291449606,-0.849338224,-0.489457623,3,UVB
day-4-UVB-1,-0.131559618,-1.193766725,-0.865056375,4,UVB
day-4-UVB-2,-0.154962083,-1.422826338,-0.374693011,4,UVB
day-4-UVB-3,-0.027185478,-1.429015459,-0.520333344,4,UVB
day-4-con-1,-0.113994232,-1.225737194,-1.001680611,4,Control
day-4-con-2,-0.120045483,-1.359062562,-1.030587129,4,Control
day-4-con-3,-0.183126012,-1.212741517,-1.166337884,4,Control
day-5-UVB-1,-0.714186751,-0.271039608,0.52284032,5,UVB
day-5-UVB-2,-0.769681278,-0.330586548,0.403054951,5,UVB
day-6-UVB-1,-0.652935878,-0.214067593,-0.038315861,6,UVB
day-6-UVB-2,-0.757735161,-0.849252757,4.784666574,6,UVB
day-6-UVB-3,-0.658899189,-0.653780535,1.277213487,6,UVB
day-6-UVB-4,-0.697467131,-0.271152797,0.103783273,6,UVB
day-6-UVB-5,-0.652883064,-0.326472082,-0.939396606,6,UVB
day-6-UVB-6,-0.562681427,0.081809951,0.750106475,6,UVB
day-6-UVB-7,-0.70029991,-0.029727606,1.337610789,6,UVB
day-6-con-1,-0.824507378,-0.820918925,0.365466,6,Control
day-6-con-2,-0.837065925,-0.832245389,0.736247181,6,Control
day-6-con-3,-0.793807924,-0.704503931,-1.107168238,6,Control
day-7-UVB-1,-0.904655345,1.102108307,-0.335089518,7,UVB
day-7-UVB-2,-0.876720704,0.860982911,-0.212637268,7,UVB
day-8-UVB-1,-1.480551407,3.640626919,-0.507396747,8,UVB
day-8-UVB-2,-0.88605309,1.653010254,-0.155226659,8,UVB
day-8-UVB-3,-0.898323228,1.61092841,-0.048665527,8,UVB
day-8-con-1,-0.904527112,0.319805528,-0.557370049,8,Control
day-8-con-2,-0.926054616,0.435434774,-0.524093442,8,Control
day-8-con-3,-1.027748698,0.718760148,-0.734917406,8,Control
