,node1,n1_isTP1_dnb,n1_isTP2_dnb,node2,n2_isTP1_dnb,n2_isTP2_dnb,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
TIMM22_TIMM44,TIMM22,1,,TIMM44,1,,1,,,1,,,,1,,,,1
ASB1_SMURF2,ASB1,1,1,SMURF2,1,1,1,,,,,,,,,,,
FCHO1_HIP1,FCHO1,1,1,HIP1,1,,1,1,,1,1,,,,,,,1
NCBP2_TAF5,NCBP2,1,1,TAF5,1,,1,,,,,,,,,,,
DDX20_GEMIN5,DDX20,,,GEMIN5,1,,1,1,,,,,,,,,,
CHUK_CYLD,CHUK,,,CYLD,,,1,1,1,,,,,,,,,
SERPINA3_TGFB3,SERPINA3,,,TGFB3,1,,1,1,1,,1,1,1,1,1,1,1,1
NF1_PSME4,NF1,1,,PSME4,1,,1,1,,,,,,,,,,
E2F4_NCOR2,E2F4,1,,NCOR2,1,,1,1,1,1,1,1,,,,,,1
NOL6_PWP2,NOL6,1,,PWP2,1,1,1,,1,,,,,,,,,
RPL22_RPS11,RPL22,,1,RPS11,,1,1,,,,,,,,,,,
CHCHD2_SLC25A4,CHCHD2,,,SLC25A4,,1,1,,,,,,,1,,,1,1
AXIN1_DVL1,AXIN1,1,,DVL1,1,,1,,1,,,,,,,,,
RPS15A_RPS17,RPS15A,,1,RPS17,,1,1,,,,,,,,,,,
NUSAP1_RRM2,NUSAP1,,,RRM2,1,,1,1,,,,,,,,,,
COQ2_HSPD1,COQ2,1,,HSPD1,1,,1,,,,,,,,,,,
CARM1_FDFT1,CARM1,,,FDFT1,1,,1,,,,,,,,,,,
ANAPC13_MGRN1,ANAPC13,,1,MGRN1,1,1,1,,1,,,,1,1,,,,1
PSMA5_SKP1,PSMA5,,,SKP1,1,,1,1,1,,,1,,,,,,
CENPF_NUP43,CENPF,1,,NUP43,1,,1,1,,,,1,,,,,,
ADCY9_NME7,ADCY9,,,NME7,1,,1,,,1,,,,,,,,
UBE2J2_UBE2N,UBE2J2,,,UBE2N,1,1,1,,,,,,,,,,,
HMMR_TUBG1,HMMR,1,,TUBG1,1,,1,1,,,,,,,,,,
APP_CCR8,APP,1,,CCR8,,,1,1,1,,,1,1,1,1,1,1,1
ADK_NT5C3B,ADK,1,,NT5C3B,,1,1,,,1,,1,1,1,,1,1,1
GEMIN6_SNUPN,GEMIN6,,,SNUPN,1,,1,,,,,,,,,,,
PELP1_UTP18,PELP1,1,1,UTP18,,,1,,,,,,,,,,,1
AURKB_PLK1,AURKB,1,,PLK1,1,1,1,,,,,,,,1,1,,
ACTB_PRKCA,ACTB,,1,PRKCA,1,1,1,1,1,,,,,1,,,,1
HIST2H2BE_HJURP,HIST2H2BE,,,HJURP,1,,1,,,,,,,,,,,1
ACER3_SPHK1,ACER3,,,SPHK1,1,1,1,1,,,1,1,,1,1,1,,
MTX1_TOMM40,MTX1,,,TOMM40,1,1,1,,,,,,,1,,,,
MOGS_RPN1,MOGS,,,RPN1,,,1,,,,,,,1,,,,
CTSC_HLA-DPB1,CTSC,,1,HLA-DPB1,1,1,1,1,1,1,,,1,1,,1,1,1
CDC20_RBCK1,CDC20,1,,RBCK1,1,,1,1,,1,1,,1,1,,,1,
BIRC3_MYD88,BIRC3,1,,MYD88,1,,1,,,,,1,,,,,,
E2F4_TOP2A,E2F4,1,,TOP2A,1,,1,1,,1,1,1,,,1,1,,
GNAI3_RIC8A,GNAI3,1,,RIC8A,,,1,,,,,,,,,,,
DNAJA4_HSPA1A,DNAJA4,,1,HSPA1A,1,1,1,1,1,,,,,,,,,
EFTUD2_SRSF3,EFTUD2,1,,SRSF3,1,,1,,,,,,,,,,,
POLR1B_WDR36,POLR1B,1,,WDR36,1,,1,,,,,,,,,,,
RB1_UBN1,RB1,1,,UBN1,,,1,1,,,,1,,,,,,
DHODH_UMPS,DHODH,,,UMPS,1,,1,,,1,,,,,,,,
PLCH2_SYNJ2,PLCH2,,,SYNJ2,1,1,1,,,,,,,,,,,
METTL1_WDR4,METTL1,,,WDR4,,,1,1,1,,,1,,,,,,
LRR1_RNF144B,LRR1,1,,RNF144B,1,,1,1,1,1,,,,,1,1,,
PRKCZ_SRC,PRKCZ,1,,SRC,1,1,1,,,,,1,,,,,,
EEFSEC_RPL8,EEFSEC,,,RPL8,1,1,1,1,,,,1,1,,,1,,
PTK2_VAV2,PTK2,1,,VAV2,,,1,,,,,1,,1,,,,
NOC3L_WDR36,NOC3L,1,,WDR36,1,,1,,,,,,,,,,,
ERCC6L_SKA1,ERCC6L,1,,SKA1,,,1,,,,,1,,,,,,1
CDC40_EIF4A3,CDC40,,,EIF4A3,1,,1,1,,,,1,,,,,1,1
NT5E_TYMP,NT5E,,,TYMP,,,1,1,,,,,,,,,,
CCND1_E2F3,CCND1,1,,E2F3,1,,1,,,,1,,,,,,,1
NCBP2_RNGTT,NCBP2,1,1,RNGTT,,,1,,,,,1,,,,,,
BDP1_SNAPC2,BDP1,1,,SNAPC2,1,,1,,,,,1,,,,,,1
BTBD1_CBLB,BTBD1,,,CBLB,1,,1,,,,1,1,,,,,,
POLD4_POLR2L,POLD4,1,1,POLR2L,1,1,1,,,,1,,,,,,,
HMGB1_HMGB2,HMGB1,,,HMGB2,1,,1,1,1,,,,,,,,,
CCNB2_MELK,CCNB2,1,,MELK,1,,1,1,1,,,,,,,,,1
GNG12_PTHLH,GNG12,,1,PTHLH,1,,1,1,1,,,,,,,,,
BUB3_SGO2,BUB3,1,1,SGO2,1,,1,,,1,1,,1,,,,,
NCBP1_PHF5A,NCBP1,1,,PHF5A,1,,1,1,1,,1,,,,,,,1
MCM8_RB1,MCM8,1,,RB1,1,,1,1,,,,,,,,1,,
EXOSC5_EXOSC8,EXOSC5,1,,EXOSC8,1,,1,,,,,,,1,,,,
MRPS18B_MRPS7,MRPS18B,1,1,MRPS7,1,1,1,,,,,,,1,1,1,,
FEN1_MCM7,FEN1,1,,MCM7,1,,1,,,,,,,,,,,
FGFR3_HRAS,FGFR3,,,HRAS,1,1,1,1,1,,,1,,,,,,
CENPQ_INCENP,CENPQ,1,,INCENP,1,,1,,,,,,,,,,,
DVL1_FZD8,DVL1,1,,FZD8,,,1,,,1,,,,,,,,
AMPH_AP2M1,AMPH,1,1,AP2M1,,,1,,,,,,,,1,1,,1
ERCC6L_NUF2,ERCC6L,1,,NUF2,1,,1,1,1,,,,,,,,,
NOL6_RPS2,NOL6,1,,RPS2,1,1,1,,,,,,,,,,,
ELAVL2_SRSF3,ELAVL2,1,1,SRSF3,1,,1,,,,,,,1,,,,
RPL24_RPS14,RPL24,,,RPS14,1,,1,,,,,,,,,,,
RPL18A_RPL22,RPL18A,1,1,RPL22,,1,1,,,,,,,1,,,,
PLA2G15_PLA2G4A,PLA2G15,,,PLA2G4A,1,,1,1,1,,,,,,,,,
DHX37_NOL6,DHX37,1,,NOL6,1,,1,,,,,1,,,,,,
SCFD1_YKT6,SCFD1,,,YKT6,1,1,1,,,,,,,1,,,,1
EXOC2_RAB14,EXOC2,1,,RAB14,,,1,,,,,1,,,,,,
CDC6_E2F5,CDC6,1,,E2F5,,,1,,1,,,,,,,,,
NUP43_SNUPN,NUP43,1,,SNUPN,1,,1,1,,,,,,,,,,
PPP3CA_SYNJ2,PPP3CA,,,SYNJ2,1,1,1,,,,,,,1,,,,
DHX37_WDR18,DHX37,1,,WDR18,1,,1,,,,,,1,1,,,,
HSPD1_IDH3G,HSPD1,1,,IDH3G,,,1,1,1,,1,,,1,,1,,
EIF5B_RPL10,EIF5B,,,RPL10,1,1,1,1,1,,,1,1,,,,,
EFTUD2_FIP1L1,EFTUD2,1,,FIP1L1,1,,1,,,,,,,1,,,,
CNTRL_RAB11A,CNTRL,1,,RAB11A,,,1,,,,,,,,,,,
CENPQ_NUP107,CENPQ,1,,NUP107,1,,1,,,,,,,,,1,,
CCNB2_PBK,CCNB2,1,,PBK,,,1,,1,,,,,,1,1,,
MCM7_RRM2,MCM7,1,,RRM2,1,,1,,,,,,,,1,,,
COL4A2_PPIB,COL4A2,,1,PPIB,,,1,,,,,,,1,1,1,1,1
RBCK1_SMURF2,RBCK1,1,,SMURF2,1,1,1,1,,1,1,1,,1,,,,
CIT_PRC1,CIT,1,,PRC1,,,1,,,,,,,1,,1,1,1
TTF1_TWISTNB,TTF1,1,1,TWISTNB,1,,1,,,,,,,,,,,
CTPS2_POLR1A,CTPS2,,,POLR1A,1,,1,,,,,,,1,,,,
LIG1_POLD2,LIG1,1,,POLD2,1,1,1,,,1,,,,,,,,
ERC1_PRKACB,ERC1,,,PRKACB,1,,1,1,,1,,,,,,,,
RPL22_RPS4X,RPL22,,1,RPS4X,,1,1,,,,,,,1,,,,
COPB1_KIF20A,COPB1,,,KIF20A,1,,1,1,,,1,,,,,,,1
MRPL28_MRPL32,MRPL28,,1,MRPL32,1,,1,,,,,,,,,,,
NAA15_NAA50,NAA15,,,NAA50,,,1,1,1,,,,,,,,,
NME7_POLA2,NME7,1,,POLA2,1,,1,,,,,,,1,,,,
AGPAT2_AGPAT5,AGPAT2,,,AGPAT5,1,,1,,1,,1,,,,,,,1
ELAVL1_PHF5A,ELAVL1,1,,PHF5A,1,,1,1,1,,,,,,,,,
NOP58_PUM3,NOP58,1,,PUM3,1,1,1,1,,,,1,,,,,,
NIFK_UTP3,NIFK,1,,UTP3,1,1,1,,,,1,1,,,,,1,
GATAD2A_MTA2,GATAD2A,,,MTA2,1,,1,,,,,1,,,,,,1
CEBPZ_RRP1B,CEBPZ,1,,RRP1B,1,,1,,,,,,,,,,,
POLR2K_PRPF4,POLR2K,1,,PRPF4,1,,1,1,,,,,,,,,,
RPS2_RSRC1,RPS2,1,1,RSRC1,1,,1,1,,,,,,,,,,
NEDD4L_VHL,NEDD4L,1,1,VHL,,,1,1,,1,,,,,,,1,1
BUB1B_KIF2A,BUB1B,1,1,KIF2A,1,,1,,1,1,1,,,,,1,,
GNA11_GNAO1,GNA11,,,GNAO1,1,,1,1,1,,,,,,,,,
