node1,node2,TP2_T7,TP2_T9,T7,T8,T9
IRF1,IRF4,0,0,1,1,1
NOC2L,WDR36,0-1,1-0,0,1,0
ACTB,MYH14,0-1,1-0,0,1,0
ARPC3,RAC1,0-1,1-0,0,1,0
BDP1,GTF3C1,0-1,1-0,0,1,0
RAD51,RBBP8,0-1,1-0,0,1,0
EFL1,RPL8,0-1,0,0,1,1
EIF3E,EIF3H,0-1,1-0,0,1,0
DUT,TK1,1-0,0,1,0,0
CDC34,RNF41,0,1-0,1,1,0
RPL35A,RPL5,0-1,1-0,0,1,0
ITPKC,MINPP1,0,1-0,1,1,0
IL1B,PYCARD,0-1,1-0,0,1,0
RPS3A,RPS7,0-1,1-0,0,1,0
MRPS15,RPS5,0-1,1-0,0,1,0
SNRNP200,SRSF7,0-1,1-0,0,1,0
FBL,TEX10,0-1,1-0,0,1,0
APEX1,TXN,1-0,0,1,0,0
EPHA8,YES1,0,1-0,1,1,0
NOL6,WDR18,0,1-0,1,1,0
MRPL10,MRPL58,0-1,1-0,0,1,0
HNRNPF,PQBP1,0-1,0,0,1,1
EXOSC7,RPS14,1-0,0,1,0,0
RPL39,RPL41,0-1,1-0,0,1,0
DDX21,PES1,0-1,1-0,0,1,0
GBP2,IRF4,0,1-0,1,1,0
EEF1B2,RPL13A,0,1-0,1,1,0
HDAC1,RUVBL1,1-0,0,1,0,0
HNRNPU,SF3B2,0-1,1-0,0,1,0
ANXA5,CASP3,0-1,1-0,0,1,0
MRPL38,TUFM,0-1,1-0,0,1,0
PSMB10,UCHL5,0,1-0,1,1,0
AKT1,RB1,0-1,1-0,0,1,0
MELK,PBK,0,0-1,0,0,1
MRPL41,MRPS11,0-1,1-0,0,1,0
DDX56,TWISTNB,0-1,1-0,0,1,0
DNAJC8,RNPS1,0-1,1-0,0,1,0
CEP89,MARK4,0-1,1-0,0,1,0
CETN2,HMMR,0-1,1-0,0,1,0
ZW10,ZWINT,0-1,1-0,0,1,0
RXRA,THRB,0-1,1-0,0,1,0
SGO2,SMC3,0,0-1,0,0,1
GRWD1,TSR1,0-1,1-0,0,1,0
RPL5,RPS7,0-1,1-0,0,1,0
CNIH1,CSNK1D,0-1,1-0,0,1,0
GP1BB,RAF1,0-1,1-0,0,1,0
EFNA3,EPHB4,0-1,0,0,1,1
RBBP8,UBE2N,0-1,1-0,0,1,0
NUMB,SRC,0-1,1-0,0,1,0
GNA11,PRKCA,0-1,1-0,0,1,0
NMD3,SDAD1,0-1,1-0,0,1,0
CGN,TGFB1,0-1,1-0,0,1,0
NOL6,PELP1,0-1,1-0,0,1,0
SNX5,TBC1D5,0-1,1-0,0,1,0
LSM4,SF3A3,0-1,1-0,0,1,0
PPARG,RXRA,1-0,0-1,1,0,1
NOP56,WDR46,0-1,1-0,0,1,0
SRSF7,USP39,0-1,1-0,0,1,0
CCNA2,HDAC1,1-0,0,1,0,0
CETN2,COPS8,0-1,0,0,1,1
RPL10A,RPL27A,0-1,1-0,0,1,0
RPLP0,TPT1,0-1,1-0,0,1,0
MRPL10,MRPS9,0-1,1-0,0,1,0
RPL18A,RPL7A,0-1,1-0,0,1,0
EEF1D,VARS,0-1,1-0,0,1,0
CFL1,HSP90AA1,0-1,1-0,0,1,0
LMAN2,YKT6,0-1,1-0,0,1,0
BAZ1B,HIST1H2BD,0,1-0,1,1,0
CETN2,XRCC5,0-1,1-0,0,1,0
EFL1,RPL3,0-1,0,0,1,1
PABPN1,PCBP2,0-1,1-0,0,1,0
GNG10,MC1R,0-1,1-0,0,1,0
ALYREF,NCBP1,0-1,1-0,0,1,0
RPL18A,RPS27L,0,1-0,1,1,0
GNAQ,NTSR1,0,1-0,1,1,0
DDX56,GNL3L,0-1,1-0,0,1,0
ELOC,RBX1,0-1,1-0,0,1,0
CAPN2,CAPNS1,0-1,1-0,0,1,0
CCT3,XRN2,0-1,1-0,0,1,0
ALYREF,DHX9,0-1,1-0,0,1,0
DDX56,RPF2,0-1,1-0,0,1,0
KIF20A,ZW10,0,0,1,1,1
ACTL6A,MRGBP,0-1,1-0,0,1,0
MRPS10,RPL8,0-1,1-0,0,1,0
DHX9,TXNL4A,0,1-0,1,1,0
EIF4EBP2,MTOR,0-1,1-0,0,1,0
EFNA3,EPHB3,0,1-0,1,1,0
RNF123,RNF130,0,1-0,1,1,0
CDC27,ZBTB16,0,1-0,1,1,0
FBXL4,FBXO9,0-1,1-0,0,1,0
IFITM3,ISG15,0-1,1-0,0,1,0
RPL3,RPS29,0-1,1-0,0,1,0
CDC20,ZBTB16,0,1-0,1,1,0
EXOSC10,NOP58,0-1,1-0,0,1,0
HSPA5,NUP205,0-1,1-0,0,1,0
CANX,HSPA5,0-1,1-0,0,1,0
MET,PIK3CD,0,0,1,1,1
HNRNPA1,POLR2L,0,1-0,1,1,0
CDC16,HERC4,0-1,1-0,0,1,0
GNG11,RHOA,0,1-0,1,1,0
SARNP,THOC6,0-1,1-0,0,1,0
RPL18,RPL37A,0-1,1-0,0,1,0
NOC4L,PELP1,0-1,1-0,0,1,0
RBCK1,RNF126,1-0,0,1,0,0
ACER1,SMPD3,0,0-1,0,0,1
IMPDH2,NT5C3B,0-1,1-0,0,1,0
FNBP1L,PACSIN3,0-1,1-0,0,1,0
POLE4,RFC4,0-1,1-0,0,1,0
GADD45GIP1,MRPL9,0-1,1-0,0,1,0
FBXL20,RNF123,0-1,1-0,0,1,0
A2M,GAB2,0-1,0,0,1,1
APOB,P4HB,0-1,1-0,0,1,0
PSMB10,RELB,0,1-0,1,1,0
POLR2L,SRSF7,0,1-0,1,1,0
PLAUR,SRC,0-1,1-0,0,1,0
IMP4,RPS9,0-1,1-0,0,1,0
SF3B2,SRSF3,0-1,1-0,0,1,0
PRPF8,SNRNP70,0-1,1-0,0,1,0
NME4,RRM2,0,0-1,0,0,1
ALYREF,SNRPD1,0-1,1-0,0,1,0
TBCD,TUBB2A,0-1,1-0,0,1,0
RPL37A,RPS27,0-1,1-0,0,1,0
PNKP,PRKDC,0-1,1-0,0,1,0
ARHGEF16,RAC2,0-1,1-0,0,1,0
NDUFA13,NDUFB11,0-1,1-0,0,1,0
SARS,YARS,0,1-0,1,1,0
GPX8,GSTO1,0-1,1-0,0,1,0
DHX37,RRP9,0-1,1-0,0,1,0
KRR1,WDR36,0-1,1-0,0,1,0
LSM4,SNU13,0-1,1-0,0,1,0
EPO,EPOR,0-1,1-0,0,1,0
AFF4,ERCC6,0-1,1-0,0,1,0
AHSA1,HSP90AB1,0-1,1-0,0,1,0
FBL,NOL11,0-1,1-0,0,1,0
RPL24,RPS5,0-1,1-0,0,1,0
ARTN,GRB7,0,1-0,1,1,0
NUP35,THOC3,0-1,1-0,0,1,0
ARF1,TMED10,0-1,1-0,0,1,0
EFTUD2,NCBP2,0-1,1-0,0,1,0
HSPA6,NUP54,0-1,1-0,0,1,0
HSPA5,NUP155,0-1,1-0,0,1,0
KIF2A,ZW10,0-1,1-0,0,1,0
ARPC1B,ARPC2,0-1,1-0,0,1,0
AKT1,THEM4,0-1,1-0,0,1,0
RPL13A,RPL18,0-1,1-0,0,1,0
CDC20,CENPK,0,0-1,0,0,1
RPL10A,RPL13A,0-1,1-0,0,1,0
IMP3,RPS7,1-0,0,1,0,0
LRSAM1,UBE2L3,0-1,1-0,0,1,0
RPL12,SMG7,0-1,1-0,0,1,0
NSA2,RPS5,0-1,1-0,0,1,0
CDC16,CDC20,0-1,1-0,0,1,0
RPL17,RPS7,0-1,1-0,0,1,0
SSNA1,TUBA1A,0,0,1,1,1
ANAPC13,CUL1,0-1,0,0,1,1
CXCR2,MCHR1,1-0,0,1,0,0
RPL7A,RPS7,0-1,1-0,0,1,0
HNRNPA3,SNRNP200,0-1,1-0,0,1,0
MYC,TFDP2,0,1-0,1,1,0
HSPA5,P4HB,0-1,1-0,0,1,0
EXOSC2,UTP3,0-1,1-0,0,1,0
ORC3,RB1,0,0-1,0,0,1
RPL18A,RPS3,0-1,1-0,0,1,0
MRPL58,MRPS12,0-1,1-0,0,1,0
RFC3,XRCC3,0-1,1-0,0,1,0
EXOC2,RALB,1-0,0,1,0,0
AKR1B10,GK,0-1,0,0,1,1
NUP35,SRSF3,0-1,1-0,0,1,0
NGEF,SRC,0-1,1-0,0,1,0
SH3GLB2,SH3KBP1,0-1,1-0,0,1,0
BYSL,UTP4,0-1,1-0,0,1,0
RPS9,SNU13,0-1,1-0,0,1,0
NGEF,ROCK1,0-1,1-0,0,1,0
LSM3,SRSF3,0-1,1-0,0,1,0
PAK2,ROBO1,1-0,0,1,0,0
AK9,POLR3H,0-1,1-0,0,1,0
MYLK,TPM3,0-1,1-0,0,1,0
CCT8,GBA,0,1-0,1,1,0
DNAJC8,WBP11,0-1,1-0,0,1,0
KMT2C,POLR2J,0-1,1-0,0,1,0
GADD45GIP1,MRPS34,0-1,1-0,0,1,0
PELP1,RPS2,0-1,1-0,0,1,0
FOXO3,YWHAQ,0-1,1-0,0,1,0
SETD1B,WDR82,1-0,0,1,0,0
NIFK,TSR1,0,1-0,1,1,0
APAF1,BAK1,0-1,1-0,0,1,0
CDC27,RNF123,0-1,1-0,0,1,0
CCNA2,HIST1H2BD,1-0,0,1,0,0
NADSYN1,NMNAT3,0,1-0,1,1,0
PIK3CD,SHC1,0-1,1-0,0,1,0
ALDH1A1,SDR16C5,0,1-0,1,1,0
AIMP1,RARS,0-1,1-0,0,1,0
POLE4,RFC3,0-1,1-0,0,1,0
H6PD,HK2,0,0-1,0,0,1
POLR2L,SF3B5,0-1,1-0,0,1,0
MRPL40,MRPL44,0-1,0,0,1,1
ACTN1,SELENOP,0-1,1-0,0,1,0
MRPL9,MTIF2,0-1,1-0,0,1,0
DOCK1,ELMO3,0-1,1-0,0,1,0
PPP1CC,TGFBR2,0,1-0,1,1,0
RPL22L1,RPL35,0-1,1-0,0,1,0
HNRNPK,SNRNP70,0-1,1-0,0,1,0
TNFRSF1A,TRAF5,0,0-1,0,0,1
RNF4,UBE2V1,0-1,1-0,0,1,0
DHX9,SNRNP70,0-1,1-0,0,1,0
NDUFB6,NDUFS2,0-1,1-0,0,1,0
H2AFJ,PAXIP1,0-1,1-0,0,1,0
SMC3,SUMO1,0-1,0,0,1,1
CTNNB1,PPP2CA,0-1,1-0,0,1,0
RPL18,RPL31,0-1,1-0,0,1,0
AHCY,CTH,0,0-1,0,0,1
H2AFZ,TCF7L1,0,1-0,1,1,0
PPM1B,TRIM25,0,0-1,0,0,1
DNAJA1,HSPA2,0-1,1-0,0,1,0
NCOA1,PLIN2,0,1-0,1,1,0
TUBGCP2,TUBGCP3,0-1,1-0,0,1,0
SERPINE1,VWF,0,0,1,1,1
CHTOP,U2AF1,0-1,1-0,0,1,0
SNRPB2,SRSF2,0-1,1-0,0,1,0
BUB3,PPP2R5A,0-1,1-0,0,1,0
SRSF3,USP39,0-1,1-0,0,1,0
DVL1,PAK2,0-1,1-0,0,1,0
AHCTF1,PPP2R5A,0-1,1-0,0,1,0
RPL12,RPL24,0-1,1-0,0,1,0
FBXL5,FBXO9,0-1,1-0,0,1,0
CAV1,FLOT1,0-1,1-0,0,1,0
COL7A1,LAMC2,0-1,1-0,0,1,0
CDC20,RNF123,0,1-0,1,1,0
MRPL44,MRPL57,0-1,1-0,0,1,0
FUS,SNRNP70,0,1-0,1,1,0
DHX15,SNRNP70,0-1,1-0,0,1,0
RPL18,RPS12,0-1,1-0,0,1,0
MRPL11,RPL18A,0-1,1-0,0,1,0
HNRNPR,PQBP1,0,1-0,1,1,0
CDC34,RNF4,0,1-0,1,1,0
TUBA1B,TUBB4A,0-1,0,0,1,1
RPL3,UBA52,1-0,0,1,0,0
COX7C,UQCRH,0-1,1-0,0,1,0
RPL22L1,RPN2,0-1,1-0,0,1,0
MRPL17,MRPL28,0,0-1,0,0,1
NIFK,NIP7,0,1-0,1,1,0
RPL22,RPS4X,0-1,1-0,0,1,0
SNRNP70,SRSF2,0-1,1-0,0,1,0
STAG1,SUN2,0-1,1-0,0,1,0
GRB2,SH2B1,0-1,1-0,0,1,0
NUSAP1,TPX2,0,0-1,0,0,1
COL7A1,COL8A1,0-1,1-0,0,1,0
KRT16,KRT6A,0-1,1-0,0,1,0
CYBA,VAV2,0-1,1-0,0,1,0
CD36,PPARG,0-1,0,0,1,1
AP1S2,SNX5,0-1,1-0,0,1,0
RPS2,RPS9,0-1,1-0,0,1,0
CCNA2,CDK1,0,0-1,0,0,1
PELP1,RPL4,0-1,1-0,0,1,0
NOC2L,TSR1,0-1,1-0,0,1,0
GTF3A,NCOA1,0,1-0,1,1,0
PQBP1,SF3A2,0-1,1-0,0,1,0
EIF4A1,EIF5B,0-1,1-0,0,1,0
ARPC5,RAC1,0-1,1-0,0,1,0
POLR2L,SNRPD2,0-1,1-0,0,1,0
FZD2,WNT10A,0-1,1-0,0,1,0
CCNB2,PRC1,0-1,0,0,1,1
ARPC1A,IGF2R,0,1-0,1,1,0
DOCK1,TRIO,0-1,0,0,1,1
NIP7,PES1,0-1,1-0,0,1,0
KLHL42,UBA1,0-1,1-0,0,1,0
CDK1,CHEK1,0,0-1,0,0,1
STX12,YKT6,0-1,1-0,0,1,0
ASAH1,CERK,0-1,1-0,0,1,0
MARK3,RAP1B,0-1,1-0,0,1,0
IMP3,RPL13,1-0,0,1,0,0
HSPA4,HSPA9,0-1,1-0,0,1,0
NCBP2,TXNL4A,0-1,1-0,0,1,0
BYSL,XRN2,0-1,1-0,0,1,0
RNPS1,THOC3,0-1,1-0,0,1,0
GRWD1,RSL1D1,0-1,1-0,0,1,0
DHX37,NOC2L,0-1,1-0,0,1,0
RPL32,TPT1,1-0,0,1,0,0
GRWD1,NMD3,0-1,1-0,0,1,0
POMC,VIPR1,0-1,1-0,0,1,0
AURKB,CCNB1,0,0-1,0,0,1
RPL30,RPS8,0-1,1-0,0,1,0
RPL7,RPS8,0-1,1-0,0,1,0
EIF3E,RPS23,0-1,1-0,0,1,0
ANAPC11,PSMB4,0-1,1-0,0,1,0
ARID1A,GTF2A1,0,0-1,0,0,1
GSTA1,GSTP1,0,0-1,0,0,1
RPL17,RPS17,0-1,1-0,0,1,0
EXOSC4,RRP7A,0-1,1-0,0,1,0
CERS3,SGPP2,0-1,1-0,0,1,0
MRPL3,MRPL9,0-1,1-0,0,1,0
CALM1,PHKB,0-1,1-0,0,1,0
BIRC5,SMC3,0-1,1-0,0,1,0
PTBP1,SNRPB2,0,1-0,1,1,0
GRWD1,NAT10,0-1,1-0,0,1,0
PDS5A,SGO2,0-1,1-0,0,1,0
SYVN1,UBE2J1,0,0,1,1,1
EIF3H,RPL7,0-1,1-0,0,1,0
AP1S2,TXNDC5,0-1,1-0,0,1,0
MRPL18,MRPS7,0-1,1-0,0,1,0
GNAO1,GNB4,1-0,0,1,0,0
NSMCE1,SUMO1,1-0,0,1,0,0
POLD1,RFC1,0-1,1-0,0,1,0
NSF,RAB1B,0-1,1-0,0,1,0
RPS16,RPS27L,0-1,1-0,0,1,0
IRF1,SOCS1,0-1,1-0,0,1,0
ARFGAP1,TMED9,0-1,1-0,0,1,0
RPL18,RPS27,0-1,1-0,0,1,0
RPL24,RPL35A,0-1,1-0,0,1,0
MRPL12,MTIF2,0-1,1-0,0,1,0
FBL,NOLC1,0-1,1-0,0,1,0
CDC27,CUL3,0-1,1-0,0,1,0
KRR1,NIFK,1-0,0,1,0,0
POLD1,RAD51,0-1,1-0,0,1,0
CERK,DEGS1,0-1,1-0,0,1,0
ARHGAP11B,RAC2,0,0-1,0,0,1
DLGAP5,NDC80,0-1,1-0,0,1,0
RPP30,RPP40,0-1,1-0,0,1,0
HNRNPA2B1,SF3B5,0-1,1-0,0,1,0
ENTPD6,RRM2,0,0-1,0,0,1
RACK1,RPL24,0-1,1-0,0,1,0
IMP3,RPL13A,1-0,0,1,0,0
NOB1,NOC4L,0-1,1-0,0,1,0
ANK3,RAB1B,0-1,1-0,0,1,0
BMS1,FBL,0-1,1-0,0,1,0
TUBB,TUBB4A,0,0,1,1,1
GSTA4,GSTO1,0-1,1-0,0,1,0
RPL18A,RPS25,0-1,0,0,1,1
NDUFB3,NDUFS6,1-0,0,1,0,0
CCT7,PFDN2,0-1,1-0,0,1,0
DOCK5,ELMO3,0-1,0,0,1,1
RNPS1,U2AF2,0-1,1-0,0,1,0
BIN1,EGFR,0-1,1-0,0,1,0
ABHD5,GPAT4,0-1,1-0,0,1,0
DDOST,RPL8,0-1,1-0,0,1,0
GMPS,TPMT,0,1-0,1,1,0
CCT3,GBA,0,1-0,1,1,0
SKP2,TRIM21,0-1,1-0,0,1,0
CALML5,NOS1,0-1,1-0,0,1,0
ACTB,CETN2,0-1,1-0,0,1,0
ALYREF,EFTUD2,0-1,1-0,0,1,0
ADM,HIF1A,0-1,1-0,0,1,0
BCAR1,RAP1B,0-1,1-0,0,1,0
MLST8,YWHAZ,0-1,1-0,0,1,0
FZR1,SKP2,0-1,1-0,0,1,0
RPL7A,RPS15A,0-1,1-0,0,1,0
FN1,MAGED2,0-1,1-0,0,1,0
PBK,TOP2A,0,0-1,0,0,1
DDX51,DDX56,0-1,1-0,0,1,0
ABR,CDC42,0-1,1-0,0,1,0
F2R,LPAR1,1-0,0,1,0,0
LMAN2,SAR1B,0-1,1-0,0,1,0
RPS16,RPS3,0-1,1-0,0,1,0
CALR,PDIA3,1-0,0,1,0,0
CYC1,TIMM17A,0-1,1-0,0,1,0
CCT5,PFDN4,0-1,1-0,0,1,0
CDC34,ZBTB16,0,1-0,1,1,0
CSNK1D,UTP3,0-1,1-0,0,1,0
MRPS14,RPL35,0-1,1-0,0,1,0
CLTA,EFNB2,0,1-0,1,1,0
RPSA,SRP72,0,0-1,0,0,1
HSPA4,HSPA6,0-1,1-0,0,1,0
BYSL,DDX47,0,1-0,1,1,0
APP,B2M,0,0,1,1,1
TNFRSF1A,USP2,0-1,1-0,0,1,0
MRPL37,MRPL9,0-1,1-0,0,1,0
FOSL1,MMP1,0-1,0,0,1,1
MRPL23,MRPS35,0-1,1-0,0,1,0
AKT1,HSP90AB1,0,0-1,0,0,1
HNRNPA1,SF3B6,1-0,0,1,0,0
CRMP1,PFAS,0-1,1-0,0,1,0
CUL1,E2F4,0,0-1,0,0,1
AK1,PDE7A,0-1,1-0,0,1,0
EIF2S2,EIF3E,0-1,1-0,0,1,0
GRWD1,RRS1,0-1,1-0,0,1,0
EXOSC4,FCF1,0-1,1-0,0,1,0
EBNA1BP2,NOC2L,0-1,1-0,0,1,0
LSM4,PPIL1,0-1,1-0,0,1,0
MRPS10,MRPS17,0-1,1-0,0,1,0
EIF3H,RPL6,0-1,1-0,0,1,0
FBXO9,RNF144B,0-1,1-0,0,1,0
GNG11,NTSR1,0,1-0,1,1,0
AURKB,NDEL1,0,0-1,0,0,1
POLR2L,SNRPB,0,1-0,1,1,0
DGKA,LIPG,0-1,1-0,0,1,0
NAT10,NOP2,0-1,1-0,0,1,0
MRPL35,MRPS34,0-1,1-0,0,1,0
SCFD1,STX5,0-1,1-0,0,1,0
CAPN1,RHOA,0-1,1-0,0,1,0
E2F4,TOP2A,0,0-1,0,0,1
MAGOHB,POLR2D,0-1,1-0,0,1,0
CDC45,POLE4,0-1,1-0,0,1,0
GRWD1,NOP56,0-1,1-0,0,1,0
RPL18A,RPL7,0-1,1-0,0,1,0
DCAF13,EXOSC5,0-1,1-0,0,1,0
H2AFZ,POLR2E,0-1,1-0,0,1,0
B4GALT2,FUT8,0,0-1,0,0,1
COL1A1,ITGAV,0,1-0,1,1,0
COPS8,RUVBL1,0-1,0,0,1,1
ACTN1,PTK2,0-1,1-0,0,1,0
HNRNPU,PTBP1,0-1,1-0,0,1,0
AGPAT2,MBOAT1,0,0-1,0,0,1
CARS,YARS,0,1-0,1,1,0
MRPS15,TUFM,0-1,1-0,0,1,0
MRPS18B,TUFM,0-1,0,0,1,1
SNRNP25,SNRPG,0-1,1-0,0,1,0
COL18A1,COL7A1,0-1,1-0,0,1,0
ASB6,UBE2E3,0-1,1-0,0,1,0
CAPZB,WASHC5,0-1,1-0,0,1,0
HNRNPU,LSM4,0-1,1-0,0,1,0
CTPS1,GMPS,0-1,1-0,0,1,0
UBA1,UBR4,0-1,1-0,0,1,0
AP2M1,RAB5B,0-1,1-0,0,1,0
GNL3L,UTP4,0-1,1-0,0,1,0
MND1,RPA3,0-1,1-0,0,1,0
PPIH,PRPF31,1-0,0,1,0,0
ASAH1,DEGS2,0-1,1-0,0,1,0
CEP41,YWHAE,0-1,1-0,0,1,0
MRPL10,MRPL28,0-1,1-0,0,1,0
CDCA8,ZW10,0,1-0,1,1,0
DYNC1H1,TUBB2A,0,0,1,1,1
MAPK1,MARK3,0-1,1-0,0,1,0
ARF4,KIF16B,1-0,0,1,0,0
AAAS,SUMO3,0,1-0,1,1,0
EBP,TM7SF2,0-1,1-0,0,1,0
DDX18,DDX56,0-1,1-0,0,1,0
RPL9,RPS19,0-1,1-0,0,1,0
RPL13,RPS7,0-1,1-0,0,1,0
AAAS,FIP1L1,1-0,0,1,0,0
COQ2,GRPEL2,1-0,0,1,0,0
LDHB,ME2,0-1,1-0,0,1,0
COL4A2,COL7A1,0-1,1-0,0,1,0
ACTR1A,DCTN1,0-1,1-0,0,1,0
HSPG2,ITGA2,0,1-0,1,1,0
CDC34,LRRC41,0,1-0,1,1,0
RPS9,UBA52,1-0,0,1,0,0
MAPK1,PEBP1,0-1,1-0,0,1,0
MRPL12,MRPL9,0-1,1-0,0,1,0
HNRNPUL1,SNRNP70,0-1,1-0,0,1,0
EFTUD2,PRPF4,0-1,1-0,0,1,0
EED,MTF2,0-1,1-0,0,1,0
A2M,MMP9,0-1,0,0,1,1
MCM8,POLE4,0-1,1-0,0,1,0
RPS3,RPS4Y1,0-1,1-0,0,1,0
EIF5B,RPS27L,1-0,0,1,0,0
POLR2E,POLR3H,0-1,1-0,0,1,0
IMP4,NIFK,0,1-0,1,1,0
PES1,SSB,0-1,1-0,0,1,0
RPL31,RPS3A,0-1,1-0,0,1,0
BCS1L,VDAC1,0-1,1-0,0,1,0
CALD1,TPM4,0,0-1,0,0,1
NOC4L,RBM19,0-1,1-0,0,1,0
MRPL39,MRPS18B,0,0-1,0,0,1
TNNC1,TPM1,0-1,1-0,0,1,0
ACTB,MYO1C,0-1,1-0,0,1,0
PELP1,RPL10,1-0,0,1,0,0
GTF3C1,POLR2E,0-1,1-0,0,1,0
ARHGAP11A,RHOG,0,0-1,0,0,1
ANAPC11,H2AFZ,0-1,1-0,0,1,0
RPL39,RPL9,0-1,1-0,0,1,0
PSMA7,PSMD1,0,1-0,1,1,0
PAPOLA,SNRNP70,0-1,1-0,0,1,0
AAAS,NUP35,0-1,1-0,0,1,0
