,type
RPL22L1,0
HIST1H2AC,0
PPP1R14A,0
KRI1,0
ASAH1,0
NCOR2,0
KIF2A,0
DIAPH2,0
NCOA1,0
GBA,0
PLRG1,0
YBX1,11
LIN7B,0
MMP15,0
RPL35,11
NPM1,0
BCL3,0
EIF4EBP1,0
VAMP3,0
SLC9A3R1,11
GNG2,11
CLNS1A,0
ANP32A,0
ARTN,0
DPYSL2,0
EIF3L,0
U2AF1,0
PPP2R5B,0
AHCY,0
AP2A2,0
HSPA14,0
KIF2C,0
KIF13B,0
MTA2,0
RRAS2,0
EBNA1BP2,0
MRPL17,0
BLM,0
DBT,0
IGF2R,0
ITPKC,11
LYN,11
POLR3A,0
OCRL,0
COL4A2,11
ARF1,11
FANCG,0
INCENP,0
DDX5,0
HIST1H3H,0
PPP3CA,0
CEBPA,0
TCF7,0
TBCB,0
GOT2,0
RAE1,0
ACADM,0
MGLL,0
BAZ1A,0
KIF11,0
DNAJB1,0
SAT1,11
AGPAT5,0
PSMC2,0
ACTN1,11
TAF5L,0
EGR2,0
CALD1,0
DDX39A,0
FSCN1,0
DIMT1,0
ALAD,0
ESRP1,0
SSNA1,0
GNAS,0
MRPS24,11
ZNF664,0
WASL,11
PSME4,0
RPS2,11
TRAF5,0
KIF16B,0
MDC1,0
TRIO,0
ARPC1B,0
EXOSC5,0
FBXW5,11
ITGAV,0
RPP40,0
TICAM1,0
FBXL19,0
RFC2,0
RPS14,0
RNF103,0
MKI67,0
PELP1,11
CCT7,0
PCGF5,0
LAMTOR4,0
GNS,0
DNAJC8,11
SERPINB3,0
NCK1,11
PPID,0
MAPK6,0
ARHGEF16,0
LSM7,0
VDAC1,0
DGKA,0
TUBB,0
NAT10,0
PAOX,0
AP3B1,0
MRPS34,11
GNL3L,0
CCL21,0
ADAM10,0
GAS6,0
BAZ1B,0
UBE2M,0
EFNB3,0
SPON2,0
TAF6,0
RUVBL2,11
MRPS15,11
SH2B1,0
CD44,0
ANAPC13,11
GRB10,0
PDCD11,0
HSF1,0
WDR12,0
CARD11,0
UTP15,0
ITPA,0
KPNA2,0
BTRC,0
USP43,0
AURKB,0
HIST1H2BD,0
DAXX,0
GGT6,0
CHP1,0
IL1B,0
LRRK2,0
RAD54L,0
KIF1C,0
KRT16,0
DNAJA4,11
TUBGCP2,0
RPL26,0
EPN1,11
YARS,11
POLA1,0
RPS27,11
HSPH1,0
UGT1A7,0
LRWD1,0
CHST2,0
MRPL27,0
GAPDH,0
INSIG1,0
GSTA1,11
NCAPH2,0
CCT6A,0
ACTL6A,0
UBE2E3,11
INTS8,0
CHTF8,0
MYO10,0
ENTPD2,0
FBL,11
PKM,0
SEC11A,0
CCT3,0
B9D2,0
GNAI3,0
CHST12,0
AIMP1,0
BRCC3,11
RBL1,0
IARS,0
ORC1,0
OSMR,0
DDB2,0
SGMS2,0
NEDD8,0
NUP93,11
RNPS1,11
POLR2E,11
EDN3,0
DNAH8,0
HUWE1,0
ITGB6,0
TGFB1,11
AKR1B1,0
DUSP4,0
LPIN3,0
KIF3B,0
ANAPC1,0
MET,0
MLLT1,0
ABI1,0
RDX,0
BUB3,11
MARK3,11
AHSA1,0
ERO1A,0
WWP1,0
HEXB,0
H2AFX,11
CDKN1C,0
PLA2G2F,11
SUZ12,0
NHLRC1,0
WDR5,11
ATP6V1B2,0
RRP36,0
BET1L,11
CNKSR1,0
DNAJC3,0
RIF1,0
CALM3,0
AGPAT4,0
UGCG,0
ARF6,0
VPS72,0
PDHA1,0
GNAI2,11
TRAPPC1,11
XPO1,0
MRPL35,11
AP2S1,0
STX17,0
ORAI2,0
TIMP1,11
PHKB,0
MIS18A,0
HNRNPL,0
FCHO2,0
MRPL18,11
CPSF2,11
PLCH2,0
MID1,0
EMC6,0
RPS15,11
RAB5B,11
VHL,0
DHX16,0
BMI1,0
HECTD2,0
NOP56,0
UBQLN2,0
MRPS10,11
IFT46,0
CCND3,0
CCT8,0
WDR3,0
MRPS17,11
PSMA1,11
WBP4,0
PPP2R1A,11
RSRC1,0
GATA3,0
SPTBN2,0
CDK6,0
PPP1CC,11
PFKP,0
RHOA,11
NEK2,0
PABPN1,0
TCF7L1,0
AP1S2,11
FZD1,0
TPM1,0
VAV2,0
FBXL4,11
TRIM28,0
GCC1,0
BLNK,0
CDKN1B,11
DDX56,11
CHCHD2,0
SMURF2,11
MNAT1,0
KDM4A,0
EIF4G2,0
GPX8,0
GSS,0
EIF3D,0
NDC1,0
GATB,0
ZAP70,0
ACER1,0
CARS,0
PLAU,0
SERPINB4,0
LIG1,0
SNRNP40,0
EIF4A3,0
CUX1,0
FHL2,0
PSMD3,0
FOSL1,0
GPX4,0
APLP2,0
ANK3,11
BICD2,0
RAB35,0
FZD2,0
AMPH,11
AK2,0
B3GALT6,0
RPS25,11
KCNG2,0
TTK,0
PMF1-BGLAP,0
TXNL4A,11
ARF4,11
PFAS,11
PLOD3,0
MRPL58,0
SLC25A4,11
GREB1,0
ARHGAP11A,0
PSMB10,11
TAOK1,0
CENPW,0
TKT,0
KIF22,0
HNRNPH2,0
THEM4,0
CTSB,0
COL8A1,0
TDRKH,0
CASP6,0
MCM5,0
RPS29,11
SURF6,0
SUGT1,0
MYH9,0
FBLIM1,0
LDHD,0
TOP2B,0
TMED2,11
SDR16C5,0
SIKE1,0
EIF3C,0
CDC5L,11
CCNF,0
GDI2,0
FCHO1,11
TUBA1A,11
GK,0
FLOT1,0
PPP2R5D,0
GPX1,0
KLHL2,0
MCM6,0
FDFT1,0
DGAT2,0
MED1,0
SERPINB6,0
KIF18A,0
CIT,0
SUCLG1,0
CFL1,0
NOL11,0
SERPINE1,11
PRKAR1B,0
ENTPD6,0
TDP2,0
BRMS1,0
IFT43,0
LRSAM1,0
PTGS1,11
BAMBI,0
CPT1A,0
RPL39,11
PPCS,0
ACTR1A,11
POLR2D,11
POLR3H,0
POLR1D,11
ANAPC11,11
PIAS3,0
UTP20,0
TRIP13,0
RPS4X,11
TBC1D5,0
CRYL1,0
WNT3,0
TBL1X,0
TIMM17A,0
RPL29,11
UBE2J2,0
LMAN2,11
MED24,0
GEMIN7,0
CERK,0
NRAS,11
HSPE1,0
BID,0
DDX51,0
DDB1,0
HRAS,11
AK1,11
SRP68,0
KIF13A,0
B2M,11
FN1,0
RPF2,0
EPHB3,0
APBA2,0
GTF2F2,0
TGFBR2,0
ARIH1,0
VDR,0
THBS2,0
CD81,0
MTIF2,11
ATG12,0
NUP160,0
PKMYT1,0
CLTA,0
POLD3,0
CRMP1,0
NDEL1,0
PDCD10,0
CDC37,11
DCN,0
ITGB1,11
CHEK1,11
CHD8,0
MBTPS2,0
CAVIN1,0
LPIN2,0
CYP2C18,0
TUBB4A,11
BCS1L,0
SACM1L,0
RPL18,11
PIK3CA,0
HNRNPF,0
IQGAP3,0
COG8,0
CTNNBL1,0
RRP7A,11
IL13RA1,0
INPP5K,0
NAGS,0
ATP6V1C2,0
GTSE1,0
PTDSS2,11
NDUFB3,0
NCBP2,11
ZC3H8,0
PRPF6,0
MYH14,11
CHST3,0
TGOLN2,0
FNTA,0
SNRPF,0
CD36,0
PRKACB,0
CBX3,0
RAPGEF2,0
DVL1,0
SMUG1,0
DNAJA1,0
BHLHE40,0
HERC3,0
UCHL5,0
FAU,0
RNF168,0
COL17A1,0
ROCK1,0
ITGB4,0
LTN1,0
FBXL2,0
FZR1,0
RNF19B,11
CENPH,0
NGFR,0
CSE1L,0
NHP2,0
AKT1,0
DDX42,0
PDE7A,0
NDUFAF6,0
PCCB,0
RANBP1,0
RAN,11
NGEF,11
ATIC,0
TRAF3,0
COX4I1,0
MAN1B1,0
RASA1,0
MRPL12,0
BCL6,0
MAPKAPK2,0
TNNT1,0
CKAP5,0
EXOSC2,0
NAA15,0
TBCA,0
RENBP,0
PPARG,0
CENPE,0
NDUFS2,0
TBC1D1,0
PTPA,0
PRDX3,0
TPX2,0
DHCR24,0
UBE2S,11
GP1BB,11
RBM22,0
BIRC2,0
DTX3L,0
SF1,0
ARG1,0
MRPS5,11
NOP58,0
LPAR2,11
SORBS3,0
PLEC,0
SDHA,0
MED15,0
NUP188,0
GOLIM4,0
TCEA1,0
DERL2,0
HGS,0
CECR2,0
ITPR1,0
MSH6,0
FAS,0
SNRPN,11
LARS,0
NMNAT3,0
SUMO3,0
HNRNPA3,11
NEB,0
DCAF1,11
GOLGA2,11
EXO1,0
TUBGCP3,11
RANBP2,0
RPL13A,11
GCNT1,0
SNX5,0
SRSF7,0
SDAD1,0
USP1,0
BCL2,0
GDA,0
STN1,0
PEBP1,0
RPLP0,11
RPL10A,11
PYGB,0
CALM2,0
RAB11A,0
TFIP11,0
RRM2B,0
HIST1H4C,0
