,node_type1,node_type2
SIAH2,plain,plain
YARS,dnb,plain
RALA,plain,plain
ABR,plain,TP-DEG
RPL15,dnb,TP-DG
HERC6,plain,plain
ARPC1B,plain,TP-DNG
BCKDHB,plain,plain
KITLG,in-marker,TP-DEG
HLA-G,plain,plain
KDM4A,plain,plain
MITF,out-marker,plain
NUP37,plain,TP-DNG
LSM2,plain,TP-DNG
RAB8A,plain,TP-DEG
CHD8,plain,plain
FZR1,plain,plain
CALM2,plain,plain
UBE2J2,plain,plain
RARS,plain,plain
EIF2AK2,plain,plain
MAN1B1,plain,plain
MC1R,in-marker,TP-DEG
PFDN2,dnb,plain
KIFC1,plain,TP-DEG
PLK1,mDNB1,TP-DG
SEC24D,mDNB1,TP-DNG
CDH13,plain,plain
RSRC1,plain,plain
RPL37A,dnb,plain
EDN3,plain,plain
IFT81,plain,TP-DEG
KAT2A,plain,plain
LIG3,plain,plain
AP1M1,plain,plain
WBP11,mDNB2,TP-DNG
ELOC,plain,plain
ETS1,plain,plain
B9D2,plain,TP-DEG
GCFC2,mDNB2,TP-DNG
DOCK1,plain,plain
TMED9,dnb,TP-DNG
NOC3L,plain,TP-DEG
SPARC,plain,plain
TRIM26,plain,plain
ARTN,plain,plain
PSMD3,plain,plain
FBXL14,dnb,TP-DNG
MARK3,dnb,TP-DNG
LRR1,plain,TP-DG
ERCC6,plain,plain
USP14,plain,plain
TYMP,plain,plain
SGK2,plain,TP-DEG
GDI2,plain,plain
SNX5,plain,plain
PPP1CC,mDNB1,TP-DNG
ORC2,plain,TP-DEG
ARPC2,plain,TP-DNG
TYMS,plain,TP-DG
PRKAR1B,plain,plain
CD81,plain,plain
STMN1,plain,TP-DEG
TULP3,plain,plain
RNF168,plain,plain
NFATC2,plain,plain
PLD3,plain,plain
SDC1,plain,TP-DEG
PARP1,plain,plain
HNRNPU,plain,TP-DNG
ZW10,mDNB2,TP-DNG
PLPP2,plain,plain
AHCTF1,plain,plain
MYBL2,plain,plain
DIAPH2,plain,TP-DEG
SORBS3,plain,plain
CETN2,mDNB2,TP-DNG
ITGAV,plain,plain
CDC16,mDNB2,TP-DNG
DSG3,out-marker,plain
SSNA1,plain,plain
SNAP29,dnb,plain
SPCS1,dnb,plain
HBP1,plain,TP-DEG
PABPN1,plain,plain
MPHOSPH10,plain,plain
UBL7,plain,plain
CREBBP,plain,TP-DEG
GDNF,plain,plain
SARNP,dnb,TP-DNG
EPN1,mDNB2,TP-DNG
BAZ1A,plain,plain
RAB13,plain,TP-DEG
CENPW,plain,plain
AGPAT2,plain,plain
ARPC1A,mDNB2,TP-DNG
NSD2,plain,plain
MAPK3,mDNB1,TP-DNG
INSIG1,plain,TP-DEG
ELOA,plain,plain
ITPK1,plain,plain
DCK,plain,plain
PLIN2,plain,plain
NDUFAF6,plain,plain
PRKAR1A,mDNB2,TP-DNG
CTSL,plain,plain
TIMM13,plain,plain
SEC13,dnb,plain
RPS27L,plain,TP-DNG
WDR35,plain,plain
HELZ2,plain,plain
GRWD1,plain,TP-DNG
PDSS1,plain,plain
SYS1,plain,plain
PDCD11,plain,TP-DNG
LRRC41,plain,plain
H1F0,plain,plain
ELP4,plain,plain
CEP41,plain,plain
RPL24,plain,TP-DNG
MRPL35,dnb,TP-DNG
CALR,plain,TP-DNG
TOP2B,plain,plain
VAMP8,mDNB2,plain
ARNT,in-marker,plain
EFL1,dnb,TP-DNG
PLGLB1,plain,plain
TRIP6,plain,plain
STK26,plain,plain
FDPS,plain,plain
KLHL9,plain,TP-DG
IDH3G,plain,plain
C12orf10,plain,plain
MGLL,plain,plain
DKK1,out-marker,plain
HGS,plain,plain
NPHP1,plain,plain
KIT,out-marker,plain
MRPS9,plain,TP-DG
SIRT1,in-marker,plain
RPS4X,dnb,TP-DNG
RANBP9,plain,plain
MMP2,out-marker,plain
TM7SF2,plain,plain
LDLRAP1,plain,plain
LSM3,plain,TP-DNG
RANBP2,plain,plain
AXIN1,plain,plain
GPR161,plain,plain
SERPINH1,in-marker,plain
ITGA4,mDNB2,plain
WBP4,plain,TP-DNG
RPL36AL,plain,plain
MORF4L2,plain,plain
FAAP100,plain,plain
YWHAQ,plain,TP-DG
HERC3,plain,plain
DUSP1,plain,TP-DNG
MNAT1,plain,plain
AGPAT1,plain,plain
CCL21,plain,plain
GEMIN4,plain,plain
IL1B,in-marker,plain
CALM1,plain,plain
LEF1,out-marker,plain
LMAN2,dnb,TP-DNG
SYVN1,plain,plain
PDE10A,plain,plain
PSME2,plain,TP-DEG
LAMB1,plain,plain
PACSIN3,mDNB1,TP-DNG
ADRB2,plain,plain
ID1,plain,plain
EIF3H,dnb,TP-DNG
DDX5,plain,plain
SELENOP,plain,plain
PRPS2,dnb,plain
OAS1,plain,TP-DEG
AP3B1,plain,plain
AK3,plain,TP-DNG
NUSAP1,plain,TP-DEG
CSPG4,plain,plain
MAPK11,mDNB2,TP-DNG
MRPL23,dnb,TP-DNG
CSTF2,mDNB2,TP-DEG
CHST2,plain,plain
MYL6,plain,plain
BAP1,plain,plain
SURF6,plain,plain
MYD88,in-marker,plain
NPM1,plain,TP-DEG
CKAP5,plain,plain
MRPL58,plain,TP-DNG
UBA1,mDNB2,TP-DNG
BMP4,out-marker,plain
HYI,plain,plain
GTF3A,mDNB2,plain
RPS3,dnb,TP-DNG
BCAS2,plain,TP-DNG
ECM1,plain,TP-DEG
AGPAT4,plain,plain
HSPA13,plain,plain
SGPL1,plain,plain
SIKE1,plain,plain
RPL8,dnb,TP-DNG
AP1S2,dnb,TP-DNG
BUB1B,mDNB2,TP-DNG
TRAPPC4,plain,plain
PHF5A,plain,plain
CASP3,mDNB1,TP-DNG
TRIM28,plain,plain
RBM19,plain,TP-DNG
UCHL5,plain,plain
NAT10,plain,TP-DNG
PCCA,plain,plain
DPH2,plain,plain
RPL26,plain,plain
CPSF3,mDNB2,TP-DNG
SMPD3,plain,plain
NR3C1,plain,plain
ITGA2,plain,TP-DNG
MINPP1,plain,plain
TOMM40,dnb,plain
CAV1,plain,TP-DEG
AP2S1,plain,plain
F2RL1,in-marker,plain
FOXO4,plain,plain
CEP131,plain,plain
SUZ12,plain,plain
SLC25A13,plain,plain
RRP9,dnb,TP-DNG
TNFRSF1A,plain,plain
CAPZB,plain,plain
RPS27A,mDNB2,TP-DNG
SPP1,out-marker,plain
IL4R,in-marker,plain
CDK6,plain,plain
HMMR,plain,plain
RNF220,plain,plain
QTRT1,plain,plain
BYSL,plain,TP-DNG
CCT7,plain,TP-DNG
TTF1,mDNB2,plain
SMPD1,dnb-marker,plain
MSN,plain,plain
AP1S1,dnb,TP-DNG
GMPS,plain,TP-DNG
TIPIN,plain,plain
ARL1,plain,plain
RAC1,mDNB2,TP-DNG
KIF20A,plain,TP-DEG
ASB6,plain,plain
DDX23,plain,TP-DEG
TEX10,plain,TP-DG
CYP2J2,mDNB1,plain
RAE1,plain,plain
WDR74,plain,plain
SF3A2,mDNB2,TP-DNG
UPRT,plain,plain
YWHAZ,plain,plain
THOC6,plain,plain
DBNL,plain,plain
MRPL28,dnb,TP-DNG
UGCG,plain,plain
GNL3L,plain,TP-DNG
SRSF1,mDNB2,TP-DNG
TADA3,dnb,TP-DNG
RMND5A,plain,plain
DNAJC10,plain,plain
IL4,out-marker,plain
CRNKL1,plain,plain
